FIPS Code, State/Area, Year, Month, Total Civilian Non-Institutional Population in State/Area, Total Civilian Labor Force in State/Area, Percent (%) of State/Area's Population, Total Employment in State/Area, Percent (%) of Labor Force Employed in State/Area, Total Unemployment in State/Area, Percent (%) of Labor Force Unemployed in State/Area
47, Tennessee,2000,3,4346194,2852691,65.6,2744529,63.1,108162,3.8
48, Texas,2000,3,15122966,10387976,68.7,9907586,65.5,480390,4.6
49, Utah,2000,3,1574156,1136540,72.2,1100892,69.9,35648,3.1
50, Vermont,2000,3,471997,333880,70.7,324816,68.8,9064,2.7
51, Virginia,2000,3,5291701,3598402,68,3511053,66.4,87349,2.4
53, Washington,2000,3,4447914,3090786,69.5,2938274,66.1,152512,4.9
54, West Virginia,2000,3,1429808,799971,55.9,754854,52.8,45117,5.6
55, Wisconsin,2000,3,4075025,2981108,73.2,2887713,70.9,93395,3.1
56, Wyoming,2000,3,372642,265312,71.2,255278,68.5,10034,3.8
01, Alabama,2000,4,3374388,2152933,63.8,2053544,60.9,99389,4.6
02, Alaska,2000,4,434498,320208,73.7,300087,69.1,20121,6.3
04, Arizona,2000,4,3821926,2500107,65.4,2400733,62.8,99374,4
05, Arkansas,2000,4,2022461,1264225,62.5,1211183,59.9,53042,4.2
06, California,2000,4,25034666,16782816,67,15944622,63.7,838194,5
037, Los Angeles County,2000,4,7045103,4653079,66,4393555,62.4,259524,5.6
08, Colorado,2000,4,3245428,2355634,72.6,2292619,70.6,63015,2.7
09, Connecticut,2000,4,2589182,1764216,68.1,1727157,66.7,37059,2.1
10, Delaware,2000,4,594827,410285,69,395778,66.5,14507,3.5
11, District of Columbia,2000,4,457251,308359,67.4,290974,63.6,17385,5.6
12, Florida,2000,4,12431288,7886709,63.4,7590406,61.1,296303,3.8
13, Georgia,2000,4,6061556,4193495,69.2,4043703,66.7,149792,3.6
15, Hawaii,2000,4,898109,606544,67.5,580150,64.6,26394,4.4
16, Idaho,2000,4,946982,659204,69.6,628958,66.4,30246,4.6
17, Illinois,2000,4,9328045,6519408,69.9,6232675,66.8,286733,4.4
18, Indiana,2000,4,4591689,3133462,68.2,3034967,66.1,98495,3.1
19, Iowa,2000,4,2230938,1590764,71.3,1549882,69.5,40882,2.6
20, Kansas,2000,4,1997350,1407475,70.5,1355365,67.9,52110,3.7
21, Kentucky,2000,4,3080332,1957215,63.5,1878639,61,78576,4
22, Louisiana,2000,4,3287478,2030975,61.8,1929509,58.7,101466,5
23, Maine,2000,4,991786,681689,68.7,658698,66.4,22991,3.4
24, Maryland,2000,4,3981648,2791240,70.1,2694918,67.7,96322,3.5
25, Massachusetts,2000,4,4916613,3343298,68,3247355,66,95943,2.9
26, Michigan,2000,4,7502107,5163621,68.8,4989797,66.5,173824,3.4
27, Minnesota,2000,4,3719417,2788458,75,2707937,72.8,80521,2.9
28, Mississippi,2000,4,2092736,1315163,62.8,1242351,59.4,72812,5.5
29, Missouri,2000,4,4225858,2966814,70.2,2874298,68,92516,3.1
30, Montana,2000,4,685731,471489,68.8,448564,65.4,22925,4.9
31, Nebraska,2000,4,1281742,939417,73.3,913616,71.3,25801,2.7
32, Nevada,2000,4,1508246,1060995,70.3,1019028,67.6,41967,4
33, New Hampshire,2000,4,946028,684663,72.4,665900,70.4,18763,2.7
34, New Jersey,2000,4,6425530,4293955,66.8,4140679,64.4,153276,3.6
35, New Mexico,2000,4,1339614,843697,63,801234,59.8,42463,5
36, New York,2000,4,14522319,9162783,63.1,8743469,60.2,419314,4.6
51000, New York city,2000,4,6199334,3668589,59.2,3450970,55.7,217619,5.9
37, North Carolina,2000,4,6089112,4111263,67.5,3968367,65.2,142896,3.5
38, North Dakota,2000,4,485023,343001,70.7,332809,68.6,10192,3
39, Ohio,2000,4,8611098,5792324,67.3,5549896,64.5,242428,4.2
40, Oklahoma,2000,4,2575814,1655441,64.3,1605448,62.3,49993,3
41, Oregon,2000,4,2634245,1813558,68.8,1720353,65.3,93205,5.1
42, Pennsylvania,2000,4,9475946,6093113,64.3,5840938,61.6,252175,4.1
44, Rhode Island,2000,4,810153,544310,67.2,522197,64.5,22113,4.1
45, South Carolina,2000,4,3017672,1959493,64.9,1886112,62.5,73381,3.7
46, South Dakota,2000,4,560520,408243,72.8,398298,71.1,9945,2.4
47, Tennessee,2000,4,4346560,2853015,65.6,2743803,63.1,109212,3.8
48, Texas,2000,4,15133460,10384688,68.6,9912894,65.5,471794,4.5
49, Utah,2000,4,1574374,1138282,72.3,1102093,70,36189,3.2
50, Vermont,2000,4,473116,333850,70.6,324776,68.6,9074,2.7
51, Virginia,2000,4,5282458,3598550,68.1,3513704,66.5,84846,2.4
53, Washington,2000,4,4450803,3091286,69.5,2936523,66,154763,5
54, West Virginia,2000,4,1430719,799822,55.9,755000,52.8,44822,5.6
55, Wisconsin,2000,4,4077259,2982659,73.2,2886607,70.8,96052,3.2
56, Wyoming,2000,4,372257,265339,71.3,255457,68.6,9882,3.7
01, Alabama,2000,5,3376115,2150985,63.7,2051877,60.8,99108,4.6
02, Alaska,2000,5,434753,320231,73.7,299944,69,20287,6.3
04, Arizona,2000,5,3830993,2501145,65.3,2401520,62.7,99625,4
05, Arkansas,2000,5,2023966,1262138,62.4,1209613,59.8,52525,4.2
06, California,2000,5,25062445,16810519,67.1,15968867,63.7,841652,5
037, Los Angeles County,2000,5,7051172,4659384,66.1,4400492,62.4,258892,5.6
08, Colorado,2000,5,3252117,2356442,72.5,2292707,70.5,63735,2.7
09, Connecticut,2000,5,2590914,1762879,68,1726282,66.6,36597,2.1
10, Delaware,2000,5,595635,411530,69.1,396680,66.6,14850,3.6
11, District of Columbia,2000,5,457179,308285,67.4,290928,63.6,17357,5.6
12, Florida,2000,5,12448757,7900636,63.5,7602166,61.1,298470,3.8
13, Georgia,2000,5,6073419,4197324,69.1,4046670,66.6,150654,3.6
15, Hawaii,2000,5,898282,605902,67.5,579744,64.5,26158,4.3
16, Idaho,2000,5,948495,659726,69.6,629190,66.3,30536,4.6
17, Illinois,2000,5,9332844,6508674,69.7,6220982,66.7,287692,4.4
18, Indiana,2000,5,4595044,3131375,68.1,3032532,66,98843,3.2
19, Iowa,2000,5,2231626,1589019,71.2,1547705,69.4,41314,2.6
20, Kansas,2000,5,1998658,1405410,70.3,1353073,67.7,52337,3.7
21, Kentucky,2000,5,3082558,1956725,63.5,1877920,60.9,78805,4
22, Louisiana,2000,5,3288084,2028038,61.7,1925659,58.6,102379,5
23, Maine,2000,5,992520,680306,68.5,657796,66.3,22510,3.3
24, Maryland,2000,5,3985656,2793520,70.1,2695235,67.6,98285,3.5
25, Massachusetts,2000,5,4920344,3337096,67.8,3243031,65.9,94065,2.8
26, Michigan,2000,5,7507302,5164344,68.8,4981678,66.4,182666,3.5
27, Minnesota,2000,5,3723374,2790458,74.9,2709344,72.8,81114,2.9
28, Mississippi,2000,5,2094047,1315641,62.8,1243022,59.4,72619,5.5
29, Missouri,2000,5,4228880,2966631,70.2,2872430,67.9,94201,3.2
30, Montana,2000,5,686136,471303,68.7,448365,65.3,22938,4.9
31, Nebraska,2000,5,1282421,939063,73.2,913191,71.2,25872,2.8
32, Nevada,2000,5,1513401,1064454,70.3,1022010,67.5,42444,4
33, New Hampshire,2000,5,947354,685083,72.3,666368,70.3,18715,2.7
34, New Jersey,2000,5,6430360,4289627,66.7,4137545,64.3,152082,3.5
35, New Mexico,2000,5,1340174,844321,63,801837,59.8,42484,5
36, New York,2000,5,14528845,9154327,63,8736957,60.1,417370,4.6
51000, New York city,2000,5,6201413,3670097,59.2,3453678,55.7,216419,5.9
37, North Carolina,2000,5,6097166,4119908,67.6,3972500,65.2,147408,3.6
38, North Dakota,2000,5,484894,342919,70.7,332824,68.6,10095,2.9
39, Ohio,2000,5,8614966,5786537,67.2,5544176,64.4,242361,4.2
40, Oklahoma,2000,5,2577332,1654880,64.2,1604931,62.3,49949,3
41, Oregon,2000,5,2636789,1814860,68.8,1720191,65.2,94669,5.2
42, Pennsylvania,2000,5,9477978,6092670,64.3,5838132,61.6,254538,4.2
44, Rhode Island,2000,5,810826,543712,67.1,521696,64.3,22016,4
45, South Carolina,2000,5,3021153,1961687,64.9,1888405,62.5,73282,3.7
46, South Dakota,2000,5,560792,408129,72.8,398097,71,10032,2.5
47, Tennessee,2000,5,4350842,2851807,65.5,2741330,63,110477,3.9
48, Texas,2000,5,15156739,10378041,68.5,9915154,65.4,462887,4.5
49, Utah,2000,5,1577260,1139792,72.3,1102966,69.9,36826,3.2
50, Vermont,2000,5,473441,333746,70.5,324580,68.6,9166,2.7
51, Virginia,2000,5,5289327,3597380,68,3514656,66.4,82724,2.3
53, Washington,2000,5,4455649,3089352,69.3,2932549,65.8,156803,5.1
54, West Virginia,2000,5,1430554,799302,55.9,754600,52.7,44702,5.6
55, Wisconsin,2000,5,4080284,2983667,73.1,2884394,70.7,99273,3.3
56, Wyoming,2000,5,372357,265327,71.3,255504,68.6,9823,3.7
01, Alabama,2000,6,3378019,2148644,63.6,2049598,60.7,99046,4.6
02, Alaska,2000,6,435039,320117,73.6,299705,68.9,20412,6.4
04, Arizona,2000,6,3840218,2503023,65.2,2402986,62.6,100037,4
05, Arkansas,2000,6,2025602,1260023,62.2,1207919,59.6,52104,4.1
06, California,2000,6,25092141,16832375,67.1,15990881,63.7,841494,5
037, Los Angeles County,2000,6,7057254,4664415,66.1,4407163,62.4,257252,5.5
08, Colorado,2000,6,3258979,2356916,72.3,2292065,70.3,64851,2.8
09, Connecticut,2000,6,2592835,1761016,67.9,1724784,66.5,36232,2.1
10, Delaware,2000,6,596507,412534,69.2,397439,66.6,15095,3.7
11, District of Columbia,2000,6,457183,308472,67.5,291090,63.7,17382,5.6
12, Florida,2000,6,12467007,7911818,63.5,7612311,61.1,299507,3.8
13, Georgia,2000,6,6085633,4199914,69,4048982,66.5,150932,3.6
15, Hawaii,2000,6,898329,605064,67.4,579163,64.5,25901,4.3
16, Idaho,2000,6,950082,660119,69.5,629321,66.2,30798,4.7
17, Illinois,2000,6,9338109,6496583,69.6,6209465,66.5,287118,4.4
18, Indiana,2000,6,4598621,3127934,68,3030118,65.9,97816,3.1
19, Iowa,2000,6,2232483,1588514,71.2,1546565,69.3,41949,2.6
20, Kansas,2000,6,2000089,1402858,70.1,1350204,67.5,52654,3.8
21, Kentucky,2000,6,3084920,1955907,63.4,1876553,60.8,79354,4.1
22, Louisiana,2000,6,3288851,2024062,61.5,1920886,58.4,103176,5.1
23, Maine,2000,6,993373,678347,68.3,656162,66.1,22185,3.3
24, Maryland,2000,6,3989864,2795968,70.1,2695979,67.6,99989,3.6
25, Massachusetts,2000,6,4924321,3330999,67.6,3238498,65.8,92501,2.8
26, Michigan,2000,6,7512817,5162449,68.7,4971024,66.2,191425,3.7
27, Minnesota,2000,6,3727522,2792365,74.9,2709868,72.7,82497,3
28, Mississippi,2000,6,2095521,1314761,62.7,1242805,59.3,71956,5.5
29, Missouri,2000,6,4232096,2966275,70.1,2869637,67.8,96638,3.3
30, Montana,2000,6,686656,470868,68.6,447929,65.2,22939,4.9
31, Nebraska,2000,6,1283175,938411,73.1,912365,71.1,26046,2.8
32, Nevada,2000,6,1518690,1067871,70.3,1024845,67.5,43026,4
33, New Hampshire,2000,6,948805,685311,72.2,666771,70.3,18540,2.7
34, New Jersey,2000,6,6435521,4284843,66.6,4132641,64.2,152202,3.6
35, New Mexico,2000,6,1340893,844893,63,802325,59.8,42568,5
36, New York,2000,6,14536216,9141115,62.9,8725743,60,415372,4.5
51000, New York city,2000,6,6203529,3666933,59.1,3452624,55.7,214309,5.8
37, North Carolina,2000,6,6105495,4127509,67.6,3974774,65.1,152735,3.7
38, North Dakota,2000,6,484811,342744,70.7,332704,68.6,10040,2.9
39, Ohio,2000,6,8619180,5779685,67.1,5537918,64.3,241767,4.2
40, Oklahoma,2000,6,2578950,1654551,64.2,1604477,62.2,50074,3
41, Oregon,2000,6,2639540,1815031,68.8,1718994,65.1,96037,5.3
42, Pennsylvania,2000,6,9480412,6093849,64.3,5836466,61.6,257383,4.2
44, Rhode Island,2000,6,811626,542938,66.9,521016,64.2,21922,4
45, South Carolina,2000,6,3024788,1963629,64.9,1890687,62.5,72942,3.7
46, South Dakota,2000,6,561177,407912,72.7,397742,70.9,10170,2.5
47, Tennessee,2000,6,4355320,2849076,65.4,2737554,62.9,111522,3.9
48, Texas,2000,6,15181172,10371237,68.3,9916003,65.3,455234,4.4
49, Utah,2000,6,1580225,1141131,72.2,1103675,69.8,37456,3.3
50, Vermont,2000,6,473872,333622,70.4,324309,68.4,9313,2.8
51, Virginia,2000,6,5296457,3596215,67.9,3515274,66.4,80941,2.3
53, Washington,2000,6,4460652,3086127,69.2,2927485,65.6,158642,5.1
54, West Virginia,2000,6,1430482,798512,55.8,753878,52.7,44634,5.6
55, Wisconsin,2000,6,4083497,2983956,73.1,2881710,70.6,102246,3.4
56, Wyoming,2000,6,372540,265322,71.2,255494,68.6,9828,3.7
01, Alabama,2000,7,3379852,2145873,63.5,2046851,60.6,99022,4.6
02, Alaska,2000,7,435275,319867,73.5,299400,68.8,20467,6.4
04, Arizona,2000,7,3849529,2505807,65.1,2405631,62.5,100176,4
05, Arkansas,2000,7,2027169,1258163,62.1,1206327,59.5,51836,4.1
06, California,2000,7,25122108,16850862,67.1,16014170,63.7,836692,5
037, Los Angeles County,2000,7,7063329,4668163,66.1,4413927,62.5,254236,5.4
08, Colorado,2000,7,3265808,2357347,72.2,2291457,70.2,65890,2.8
09, Connecticut,2000,7,2594750,1759361,67.8,1723398,66.4,35963,2
10, Delaware,2000,7,597308,413349,69.2,398153,66.7,15196,3.7
11, District of Columbia,2000,7,457124,308993,67.6,291549,63.8,17444,5.6
12, Florida,2000,7,12485621,7922274,63.5,7623143,61.1,299131,3.8
13, Georgia,2000,7,6097791,4202076,68.9,4052099,66.5,149977,3.6
15, Hawaii,2000,7,898534,604284,67.3,578724,64.4,25560,4.2
16, Idaho,2000,7,951580,660540,69.4,629507,66.2,31033,4.7
17, Illinois,2000,7,9343505,6484866,69.4,6199132,66.3,285734,4.4
18, Indiana,2000,7,4602084,3123279,67.9,3028049,65.8,95230,3
19, Iowa,2000,7,2233194,1589606,71.2,1546820,69.3,42786,2.7
20, Kansas,2000,7,2001437,1400182,70,1347260,67.3,52922,3.8
21, Kentucky,2000,7,3087202,1955213,63.3,1875040,60.7,80173,4.1
22, Louisiana,2000,7,3289553,2020359,61.4,1916191,58.3,104168,5.2
23, Maine,2000,7,994123,676253,68,654293,65.8,21960,3.2
24, Maryland,2000,7,3994146,2799124,70.1,2697863,67.5,101261,3.6
25, Massachusetts,2000,7,4928325,3326572,67.5,3235403,65.6,91169,2.7
26, Michigan,2000,7,7518317,5157929,68.6,4960549,66,197380,3.8
27, Minnesota,2000,7,3731556,2795292,74.9,2710585,72.6,84707,3
28, Mississippi,2000,7,2096871,1312718,62.6,1241709,59.2,71009,5.4
29, Missouri,2000,7,4235242,2966424,70,2866872,67.7,99552,3.4
30, Montana,2000,7,687074,470286,68.4,447403,65.1,22883,4.9
31, Nebraska,2000,7,1283867,937760,73,911486,71,26274,2.8
32, Nevada,2000,7,1523973,1071444,70.3,1027679,67.4,43765,4.1
33, New Hampshire,2000,7,950153,685467,72.1,667278,70.2,18189,2.7
34, New Jersey,2000,7,6440878,4280707,66.5,4127271,64.1,153436,3.6
35, New Mexico,2000,7,1341617,845568,63,802979,59.9,42589,5
36, New York,2000,7,14543810,9127546,62.8,8714462,59.9,413084,4.5
51000, New York city,2000,7,6205613,3661792,59,3450262,55.6,211530,5.8
37, North Carolina,2000,7,6113834,4133433,67.6,3975465,65,157968,3.8
38, North Dakota,2000,7,484684,342504,70.7,332460,68.6,10044,2.9
39, Ohio,2000,7,8623387,5772636,66.9,5532446,64.2,240190,4.2
40, Oklahoma,2000,7,2580531,1654254,64.1,1604129,62.2,50125,3
41, Oregon,2000,7,2642201,1814162,68.7,1717235,65,96927,5.3
42, Pennsylvania,2000,7,9482949,6097040,64.3,5837145,61.6,259895,4.3
44, Rhode Island,2000,7,812307,542065,66.7,520301,64.1,21764,4
45, South Carolina,2000,7,3028366,1965426,64.9,1893401,62.5,72025,3.7
46, South Dakota,2000,7,561458,407769,72.6,397419,70.8,10350,2.5
47, Tennessee,2000,7,4359743,2845950,65.3,2733879,62.7,112071,3.9
48, Texas,2000,7,15205794,10367924,68.2,9918859,65.2,449065,4.3
49, Utah,2000,7,1583044,1142501,72.2,1104443,69.8,38058,3.3
50, Vermont,2000,7,474208,333546,70.3,324086,68.3,9460,2.8
51, Virginia,2000,7,5303617,3596648,67.8,3517376,66.3,79272,2.2
53, Washington,2000,7,4465758,3083380,69,2923136,65.5,160244,5.2
54, West Virginia,2000,7,1430344,797771,55.8,753220,52.7,44551,5.6
55, Wisconsin,2000,7,4086610,2984042,73,2879561,70.5,104481,3.5
56, Wyoming,2000,7,372630,265364,71.2,255502,68.6,9862,3.7
01, Alabama,2000,8,3381310,2143247,63.4,2044264,60.5,98983,4.6
02, Alaska,2000,8,435991,319621,73.3,299149,68.6,20472,6.4
04, Arizona,2000,8,3858859,2510014,65,2410099,62.5,99915,4
05, Arkansas,2000,8,2028445,1256863,62,1205114,59.4,51749,4.1
06, California,2000,8,25159823,16871299,67.1,16042831,63.8,828468,4.9
037, Los Angeles County,2000,8,7070021,4671473,66.1,4421195,62.5,250278,5.4
08, Colorado,2000,8,3273219,2358354,72,2292079,70,66275,2.8
09, Connecticut,2000,8,2596443,1758398,67.7,1722515,66.3,35883,2
10, Delaware,2000,8,597988,414252,69.3,399036,66.7,15216,3.7
11, District of Columbia,2000,8,457542,309954,67.7,292393,63.9,17561,5.7
12, Florida,2000,8,12508314,7934744,63.4,7636668,61.1,298076,3.8
13, Georgia,2000,8,6109604,4205615,68.8,4057671,66.4,147944,3.5
15, Hawaii,2000,8,899321,603799,67.1,578655,64.3,25144,4.2
16, Idaho,2000,8,953178,661239,69.4,630013,66.1,31226,4.7
17, Illinois,2000,8,9350076,6475245,69.3,6190137,66.2,285108,4.4
18, Indiana,2000,8,4604966,3118838,67.7,3026609,65.7,92229,3
19, Iowa,2000,8,2234016,1592249,71.3,1548545,69.3,43704,2.7
20, Kansas,2000,8,2002725,1398066,69.8,1344863,67.2,53203,3.8
21, Kentucky,2000,8,3089097,1955481,63.3,1874187,60.7,81294,4.2
22, Louisiana,2000,8,3290371,2018573,61.3,1913044,58.1,105529,5.2
23, Maine,2000,8,995112,674473,67.8,652725,65.6,21748,3.2
24, Maryland,2000,8,3999344,2803670,70.1,2701581,67.6,102089,3.6
25, Massachusetts,2000,8,4932825,3325514,67.4,3235303,65.6,90211,2.7
26, Michigan,2000,8,7523894,5152974,68.5,4952767,65.8,200207,3.9
27, Minnesota,2000,8,3736180,2800080,74.9,2712853,72.6,87227,3.1
28, Mississippi,2000,8,2097691,1310023,62.5,1240298,59.1,69725,5.3
29, Missouri,2000,8,4238910,2968461,70,2865279,67.6,103182,3.5
30, Montana,2000,8,687647,469716,68.3,446969,65,22747,4.8
31, Nebraska,2000,8,1284599,937517,73,911017,70.9,26500,2.8
32, Nevada,2000,8,1528991,1075476,70.3,1030790,67.4,44686,4.2
33, New Hampshire,2000,8,951558,685823,72.1,668064,70.2,17759,2.6
34, New Jersey,2000,8,6445735,4278838,66.4,4123477,64,155361,3.6
35, New Mexico,2000,8,1342658,846626,63.1,804094,59.9,42532,5
36, New York,2000,8,14553944,9118922,62.7,8708689,59.8,410233,4.5
51000, New York city,2000,8,6209470,3657562,58.9,3449244,55.5,208318,5.7
37, North Carolina,2000,8,6122225,4138444,67.6,3976108,64.9,162336,3.9
38, North Dakota,2000,8,484699,342328,70.6,332255,68.5,10073,2.9
39, Ohio,2000,8,8628086,5767570,66.8,5529744,64.1,237826,4.1
40, Oklahoma,2000,8,2581871,1654069,64.1,1604248,62.1,49821,3
41, Oregon,2000,8,2645715,1812964,68.5,1715989,64.9,96975,5.3
42, Pennsylvania,2000,8,9486837,6102682,64.3,5841097,61.6,261585,4.3
44, Rhode Island,2000,8,812996,541258,66.6,519758,63.9,21500,4
45, South Carolina,2000,8,3031799,1967870,64.9,1896996,62.6,70874,3.6
46, South Dakota,2000,8,561921,407878,72.6,397346,70.7,10532,2.6
47, Tennessee,2000,8,4363746,2844279,65.2,2732157,62.6,112122,3.9
48, Texas,2000,8,15232085,10371545,68.1,9927737,65.2,443808,4.3
49, Utah,2000,8,1586352,1144356,72.1,1105608,69.7,38748,3.4
50, Vermont,2000,8,474629,333652,70.3,324092,68.3,9560,2.9
51, Virginia,2000,8,5310692,3600535,67.8,3522749,66.3,77786,2.2
53, Washington,2000,8,4472133,3082534,68.9,2921222,65.3,161312,5.2
54, West Virginia,2000,8,1430132,797505,55.8,753062,52.7,44443,5.6
55, Wisconsin,2000,8,4090566,2984888,73,2879078,70.4,105810,3.5
56, Wyoming,2000,8,372824,265527,71.2,255633,68.6,9894,3.7
01, Alabama,2000,9,3382833,2141123,63.3,2042203,60.4,98920,4.6
02, Alaska,2000,9,436686,319468,73.2,299035,68.5,20433,6.4
04, Arizona,2000,9,3868349,2515959,65,2416580,62.5,99379,3.9
05, Arkansas,2000,9,2029809,1256360,61.9,1204522,59.3,51838,4.1
06, California,2000,9,25198907,16896624,67.1,16077742,63.8,818882,4.8
037, Los Angeles County,2000,9,7076780,4675585,66.1,4429633,62.6,245952,5.3
08, Colorado,2000,9,3280778,2360216,71.9,2294416,69.9,65800,2.8
09, Connecticut,2000,9,2598235,1757954,67.7,1721890,66.3,36064,2.1
10, Delaware,2000,9,598716,415453,69.4,400210,66.8,15243,3.7
11, District of Columbia,2000,9,457979,311303,68,293567,64.1,17736,5.7
12, Florida,2000,9,12531514,7950023,63.4,7652740,61.1,297283,3.7
13, Georgia,2000,9,6121592,4211500,68.8,4065922,66.4,145578,3.5
15, Hawaii,2000,9,900064,603783,67.1,579065,64.3,24718,4.1
16, Idaho,2000,9,954816,662304,69.4,631007,66.1,31297,4.7
17, Illinois,2000,9,9357007,6468288,69.1,6181872,66.1,286416,4.4
18, Indiana,2000,9,4607960,3115798,67.6,3025630,65.7,90168,2.9
19, Iowa,2000,9,2234909,1595899,71.4,1551361,69.4,44538,2.8
20, Kansas,2000,9,2004079,1397072,69.7,1343392,67,53680,3.8
21, Kentucky,2000,9,3091067,1956925,63.3,1874369,60.6,82556,4.2
22, Louisiana,2000,9,3291271,2019258,61.4,1912209,58.1,107049,5.3
23, Maine,2000,9,996165,673290,67.6,651738,65.4,21552,3.2
24, Maryland,2000,9,4004683,2809536,70.2,2707058,67.6,102478,3.6
25, Massachusetts,2000,9,4937430,3328808,67.4,3238983,65.6,89825,2.7
26, Michigan,2000,9,7529670,5150327,68.4,4948522,65.7,201805,3.9
27, Minnesota,2000,9,3740906,2806769,75,2717481,72.6,89288,3.2
28, Mississippi,2000,9,2098577,1307260,62.3,1239098,59,68162,5.2
29, Missouri,2000,9,4242677,2973070,70.1,2865361,67.5,107709,3.6
30, Montana,2000,9,688280,469254,68.2,446734,64.9,22520,4.8
31, Nebraska,2000,9,1285348,937888,73,911207,70.9,26681,2.8
32, Nevada,2000,9,1534032,1080030,70.4,1034296,67.4,45734,4.2
33, New Hampshire,2000,9,952999,686596,72,669204,70.2,17392,2.5
34, New Jersey,2000,9,6450861,4279650,66.3,4122376,63.9,157274,3.7
35, New Mexico,2000,9,1343758,848142,63.1,805684,60,42458,5
36, New York,2000,9,14564575,9117064,62.6,8710620,59.8,406444,4.5
51000, New York city,2000,9,6213324,3655479,58.8,3450625,55.5,204854,5.6
37, North Carolina,2000,9,6130839,4144132,67.6,3978577,64.9,165555,4
38, North Dakota,2000,9,484737,342327,70.6,332257,68.5,10070,2.9
39, Ohio,2000,9,8633000,5766307,66.8,5531574,64.1,234733,4.1
40, Oklahoma,2000,9,2583304,1654299,64,1605173,62.1,49126,3
41, Oregon,2000,9,2649251,1812271,68.4,1716020,64.8,96251,5.3
42, Pennsylvania,2000,9,9490931,6110966,64.4,5848728,61.6,262238,4.3
44, Rhode Island,2000,9,813748,540682,66.4,519558,63.8,21124,3.9
45, South Carolina,2000,9,3035343,1971496,65,1901466,62.6,70030,3.6
46, South Dakota,2000,9,562429,408313,72.6,397642,70.7,10671,2.6
47, Tennessee,2000,9,4367858,2844773,65.1,2732966,62.6,111807,3.9
48, Texas,2000,9,15259194,10382274,68,9943815,65.2,438459,4.2
49, Utah,2000,9,1589727,1146846,72.1,1107285,69.7,39561,3.4
50, Vermont,2000,9,475082,334008,70.3,324405,68.3,9603,2.9
51, Virginia,2000,9,5317939,3608457,67.9,3531752,66.4,76705,2.1
53, Washington,2000,9,4478629,3083855,68.9,2922175,65.2,161680,5.2
54, West Virginia,2000,9,1429981,797856,55.8,753621,52.7,44235,5.5
55, Wisconsin,2000,9,4094607,2987106,73,2880752,70.4,106354,3.6
56, Wyoming,2000,9,373051,265833,71.3,255942,68.6,9891,3.7
01, Alabama,2000,10,3384211,2139926,63.2,2041001,60.3,98925,4.6
02, Alaska,2000,10,437393,319403,73,299064,68.4,20339,6.4
04, Arizona,2000,10,3877696,2523954,65.1,2424942,62.5,99012,3.9
05, Arkansas,2000,10,2031078,1256632,61.9,1204595,59.3,52037,4.1
06, California,2000,10,25237042,16928452,67.1,16118306,63.9,810146,4.8
037, Los Angeles County,2000,10,7083449,4682591,66.1,4440688,62.7,241903,5.2
08, Colorado,2000,10,3288185,2362855,71.9,2298209,69.9,64646,2.7
09, Connecticut,2000,10,2599904,1757803,67.6,1721221,66.2,36582,2.1
10, Delaware,2000,10,599406,417048,69.6,401740,67,15308,3.7
11, District of Columbia,2000,10,458388,312650,68.2,294698,64.3,17952,5.7
12, Florida,2000,10,12554196,7968603,63.5,7671035,61.1,297568,3.7
13, Georgia,2000,10,6133273,4219708,68.8,4076029,66.5,143679,3.4
15, Hawaii,2000,10,900855,604311,67.1,579968,64.4,24343,4
16, Idaho,2000,10,956410,663771,69.4,632528,66.1,31243,4.7
17, Illinois,2000,10,9363515,6464848,69,6174523,65.9,290325,4.5
18, Indiana,2000,10,4610768,3115383,67.6,3025371,65.6,90012,2.9
19, Iowa,2000,10,2235750,1599621,71.5,1554252,69.5,45369,2.8
20, Kansas,2000,10,2005362,1397470,69.7,1343090,67,54380,3.9
21, Kentucky,2000,10,3092897,1959159,63.3,1875394,60.6,83765,4.3
22, Louisiana,2000,10,3292007,2022328,61.4,1913866,58.1,108462,5.4
23, Maine,2000,10,997202,672805,67.5,651444,65.3,21361,3.2
24, Maryland,2000,10,4009824,2816124,70.2,2713711,67.7,102413,3.6
25, Massachusetts,2000,10,4941860,3336722,67.5,3246473,65.7,90249,2.7
26, Michigan,2000,10,7535127,5152050,68.4,4947870,65.7,204180,4
27, Minnesota,2000,10,3745484,2815217,75.2,2724744,72.7,90473,3.2
28, Mississippi,2000,10,2099379,1305140,62.2,1238459,59,66681,5.1
29, Missouri,2000,10,4246319,2979947,70.2,2867305,67.5,112642,3.8
30, Montana,2000,10,688837,468924,68.1,446711,64.9,22213,4.7
31, Nebraska,2000,10,1286070,939042,73,912185,70.9,26857,2.9
32, Nevada,2000,10,1539014,1085010,70.5,1038180,67.5,46830,4.3
33, New Hampshire,2000,10,954412,687938,72.1,670675,70.3,17263,2.5
34, New Jersey,2000,10,6455676,4282124,66.3,4123650,63.9,158474,3.7
35, New Mexico,2000,10,1344816,850024,63.2,807634,60.1,42390,5
36, New York,2000,10,14574580,9120777,62.6,8719377,59.8,401400,4.4
51000, New York city,2000,10,6217165,3655472,58.8,3454151,55.6,201321,5.5
37, North Carolina,2000,10,6139174,4151937,67.6,3983626,64.9,168311,4.1
38, North Dakota,2000,10,484741,342574,70.7,332575,68.6,9999,2.9
