FIPS Code, State/Area, Year, Month, Total Civilian Non-Institutional Population in State/Area, Total Civilian Labor Force in State/Area, Percent (%) of State/Area's Population, Total Employment in State/Area, Percent (%) of Labor Force Employed in State/Area, Total Unemployment in State/Area, Percent (%) of Labor Force Unemployed in State/Area
42, Pennsylvania,2019,8,10413671,6574197,63.1,6292730,60.4,281467,4.3
44, Rhode Island,2019,8,892328,575733,64.5,555392,62.2,20341,3.5
45, South Carolina,2019,8,4009083,2324574,58,2266856,56.5,57718,2.5
46, South Dakota,2019,8,670321,465414,69.4,452319,67.5,13095,2.8
47, Tennessee,2019,8,5403683,3341343,61.8,3233449,59.8,107894,3.2
48, Texas,2019,8,21816199,13967268,64,13473161,61.8,494107,3.5
49, Utah,2019,8,2371844,1623654,68.5,1583783,66.8,39871,2.5
50, Vermont,2019,8,532741,352612,66.2,345247,64.8,7365,2.1
51, Virginia,2019,8,6724958,4412242,65.6,4301027,64,111215,2.5
53, Washington,2019,8,6040434,3945475,65.3,3783381,62.6,162094,4.1
54, West Virginia,2019,8,1452082,796810,54.9,757310,52.2,39500,5
55, Wisconsin,2019,8,4673489,3113565,66.6,3010722,64.4,102843,3.3
56, Wyoming,2019,8,447659,293912,65.7,282829,63.2,11083,3.8
01, Alabama,2019,9,3941513,2276161,57.7,2208693,56,67468,3
02, Alaska,2019,9,544827,353496,64.9,333965,61.3,19531,5.5
04, Arizona,2019,9,5560987,3451406,62.1,3287572,59.1,163834,4.7
05, Arkansas,2019,9,2333257,1355927,58.1,1308223,56.1,47704,3.5
06, California,2019,9,31076349,19441074,62.6,18662231,60.1,778843,4
037, Los Angeles County,2019,9,8063635,5172937,64.2,4943828,61.3,229109,4.4
08, Colorado,2019,9,4534053,3115226,68.7,3035500,66.9,79726,2.6
09, Connecticut,2019,9,2914238,1943889,66.7,1873225,64.3,70664,3.6
10, Delaware,2019,9,784987,485332,61.8,467362,59.5,17970,3.7
11, District of Columbia,2019,9,563489,400397,71.1,379583,67.4,20814,5.2
12, Florida,2019,9,17320474,10347607,59.7,10019752,57.8,327855,3.2
13, Georgia,2019,9,8226839,5179324,63,4999343,60.8,179981,3.5
15, Hawaii,2019,9,1124406,687407,61.1,670831,59.7,16576,2.4
16, Idaho,2019,9,1389506,895172,64.4,869304,62.6,25868,2.9
17, Illinois,2019,9,10125097,6532159,64.5,6289915,62.1,242244,3.7
18, Indiana,2019,9,5267359,3406770,64.7,3295351,62.6,111419,3.3
19, Iowa,2019,9,2490670,1751371,70.3,1702786,68.4,48585,2.8
20, Kansas,2019,9,2242765,1509246,67.3,1459913,65.1,49333,3.3
21, Kentucky,2019,9,3518418,2077317,59,1992682,56.6,84635,4.1
22, Louisiana,2019,9,3585353,2108003,58.8,2006934,56,101069,4.8
23, Maine,2019,9,1121582,699779,62.4,679066,60.5,20713,3
24, Maryland,2019,9,4851287,3348935,69,3237448,66.7,111487,3.3
25, Massachusetts,2019,9,5732271,3841822,67,3728943,65.1,112879,2.9
26, Michigan,2019,9,8054875,4981560,61.8,4778213,59.3,203347,4.1
27, Minnesota,2019,9,4461032,3117923,69.9,3015951,67.6,101972,3.3
28, Mississippi,2019,9,2280607,1283302,56.3,1210487,53.1,72815,5.7
29, Missouri,2019,9,4817444,3085426,64,2984906,62,100520,3.3
30, Montana,2019,9,856768,546873,63.8,527744,61.6,19129,3.5
31, Nebraska,2019,9,1496322,1055598,70.5,1021734,68.3,33864,3.2
32, Nevada,2019,9,2420187,1557129,64.3,1494110,61.7,63019,4
33, New Hampshire,2019,9,1132089,783557,69.2,763222,67.4,20335,2.6
34, New Jersey,2019,9,7360512,4722462,64.2,4554199,61.9,168263,3.6
35, New Mexico,2019,9,1648226,957740,58.1,911064,55.3,46676,4.9
36, New York,2019,9,16243511,9868458,60.8,9486126,58.4,382332,3.9
51000, New York city,2019,9,7109410,4262622,60,4101341,57.7,161281,3.8
37, North Carolina,2019,9,8149721,5012386,61.5,4816739,59.1,195647,3.9
38, North Dakota,2019,9,593480,413493,69.7,404784,68.2,8709,2.1
39, Ohio,2019,9,9306022,5896379,63.4,5645127,60.7,251252,4.3
40, Oklahoma,2019,9,3018820,1845117,61.1,1786225,59.2,58892,3.2
41, Oregon,2019,9,3409906,2094267,61.4,2019927,59.2,74340,3.5
42, Pennsylvania,2019,9,10417729,6582426,63.2,6297172,60.4,285254,4.3
44, Rhode Island,2019,9,892883,576981,64.6,556657,62.3,20324,3.5
45, South Carolina,2019,9,4014674,2324827,57.9,2268247,56.5,56580,2.4
46, South Dakota,2019,9,670947,465780,69.4,452750,67.5,13030,2.8
47, Tennessee,2019,9,5409822,3343303,61.8,3233596,59.8,109707,3.3
48, Texas,2019,9,21850139,13997343,64.1,13500270,61.8,497073,3.6
49, Utah,2019,9,2376607,1627213,68.5,1587717,66.8,39496,2.4
50, Vermont,2019,9,533024,352910,66.2,345268,64.8,7642,2.2
51, Virginia,2019,9,6730155,4420285,65.7,4305261,64,115024,2.6
53, Washington,2019,9,6048453,3955447,65.4,3794734,62.7,160713,4.1
54, West Virginia,2019,9,1451943,797936,55,757791,52.2,40145,5
55, Wisconsin,2019,9,4676576,3112977,66.6,3010622,64.4,102355,3.3
56, Wyoming,2019,9,447980,294275,65.7,282900,63.2,11375,3.9
01, Alabama,2019,10,3944209,2276933,57.7,2208773,56,68160,3
02, Alaska,2019,10,544875,353202,64.8,334046,61.3,19156,5.4
04, Arizona,2019,10,5571732,3460160,62.1,3296609,59.2,163551,4.7
05, Arkansas,2019,10,2334662,1357707,58.2,1309804,56.1,47903,3.5
06, California,2019,10,31085326,19480690,62.7,18694897,60.1,785793,4
037, Los Angeles County,2019,10,8061030,5191613,64.4,4958641,61.5,232972,4.5
